district	huyện
rest	nghỉ ngơi
bun	bún
vietnm	việt nam
todo	làm
last	cuối cùng
cleen	làm sạch
soakers	người làm bánh
appartments	căn hộ
kingfishers	bói cá
worderfull	lo lắng
halo	hào quang
win	thắng lợi
banh	bánh
hidden	ẩn
served	phục vụ
guinely	chân thật
hochimin	hồ chí minh
dac	đắc
pusan	xô đẩy
kinks	gấp khúc
brew	ủ
tourists	khách du lịch
packers	người đóng gói
upgraded	nâng cấp
golfview	đánh gôn
ubran	thành thị
guess	phỏng đoán
rooster	gà trống
bro	anh bạn
receprptionist	lễ tân
worldpress	báo chí thế giới
adverftised	được quảng cáo
hioliday	ngày lễ
touring	du lịch
sympatyczni	giao cảm
cigarets	thuốc lá
mineral	khoáng sản
images	hình ảnh
oriental	phương đông
church	nhà thờ
handsome	đẹp
lolation	cách ly
luxuy	sang trọng
bedsheet	ga trải giường
fastfood	thức ăn nhanh
quiteness	sự yên tĩnh
frankly	thẳng thắn
heath	cây thạch thảo
geckos	tắc kè
ways	cách
fat	mập
notice	để ý
facillity	cơ sở
touristy	khách du lịch
loves	yêu
farm	nông trại
regard	sự quan tâm
kayac	thuyền kayac
voan	khăn voan
flicking	nhấp nháy
locals	người dân địa phương
ganh	ganh đua
redhouse	ngôi nhà màu đỏ
streets	đường phố
nightlife	cuộc sống về đêm
found	tìm
towels	khăn tắm
lager	bằng lăng
mouse	chuột
defenetly	chắc chắn
root	nguồn gốc
cruises	du lịch trên biển
beautifully	đẹp
amable	thân thiện
attentiont	chú ý
toiletories	đồ vệ sinh cá nhân
vespers	kinh chiều
glass	cốc thủy tinh
film	phim ảnh
handmock	tay cầm
mast	cột buồm
outdoor	ngoài trời
careful	cẩn thận
welldone	nấu kỹ
fifteen	mười lăm
stayed	ở lại
prior	ưu tiên
recomentded	đề nghị
annnoying	làm phiền
